QoE,Latency,Energy,Battery,OffloadRatio,Action,TaskClass,Success
-1.2899608996056219e-06,0.015405941283211473,0.005159714602332527,3999.8948402853975,1.0,2,2,1
-9.776052776409498e-07,0.014125086727351058,0.003910220545344045,3999.790930064852,1.0,2,2,1
-8.67915643927986e-07,0.013676549382211429,0.003471394329080161,3999.687458670523,1.0,2,2,1
-1.0318553416697876e-06,0.006386041328868496,0.00412699568370467,3999.5833316748394,1.0,1,2,1
-0.1,0.04326663658245967,2.7690647412774188,3996.714266933562,0.0,0,2,0
-0.1,0.03936009987692584,2.5190463921232533,3994.095220541439,0.0,0,2,0
-8.153415774702368e-07,0.013498260305842629,0.0032564703635248435,3993.991964071076,1.0,2,2,1
-1.3347254788107405e-06,0.00842156210499826,0.005330749364063136,3993.886633321712,1.0,1,2,1
-0.1,0.04540536333365714,2.905943253354057,3990.880690068358,0.0,0,2,0
-1.0917740389279618e-06,0.01463242731930717,0.00435703075247165,3990.7763330376056,1.0,2,2,1
-1.2062245509594017e-06,0.015113346645731947,0.004813651767842598,3990.6715193858377,1.0,2,2,1
-1.4309619593998958e-06,0.008608059447636195,0.005710356040505777,3990.565809029797,1.0,1,2,1
-1.2524838573026413e-06,0.008052767360456153,0.004997994008927946,3990.460811035788,1.0,1,2,1
-0.1,0.06313911342307793,4.040903259076987,3986.3199077767113,0.0,0,2,0
-0.1,0.05353020845838646,3.4259333413367337,3982.793974435375,0.0,0,1,0
-9.77620849628803e-07,0.0060652612892317615,0.0038935646670990253,3982.690080870708,1.0,1,2,1
-0.1,0.05005751998872863,3.203681279278632,3979.3863995914294,0.0,0,2,0
-7.936691405786124e-07,0.013351673758577244,0.0031582368168798906,3979.2832413546125,1.0,2,2,1
-5.122984197051652e-07,0.003333772406940168,0.002038529286263245,3979.181202825326,1.0,1,2,1
-1.0943802308247057e-06,0.007188732847462319,0.004354627805218228,3979.076848197521,1.0,1,2,1
-8.159379530601797e-07,0.013465205784316862,0.003246598224792131,3978.973601599296,1.0,2,2,1
-0.1,0.040704666656292056,2.6050986660026916,3976.268502933294,0.0,0,2,0
-1.2593875939291705e-06,0.00786667341010021,0.005007537283966113,3976.16349539601,1.0,1,2,1
-5.369075929203077e-07,0.0036600323343370855,0.0021347786806113767,3976.0613606173297,1.0,1,2,1
-8.827201438361705e-06,0.04738676498322408,0.03509661184131185,3975.9262640054885,1.0,2,3,1
-6.002405655277567e-06,0.038079251428632985,0.023864522051467624,3975.802399483437,1.0,1,3,1
-0.007729338553523054,0.4801492161509601,30.729549833661448,3944.9728496497755,0.0,0,3,1
-5.186099561873285e-07,0.00335884962807261,0.002045850335721452,3944.8708037994397,1.0,1,2,1
-7.915555912515165e-07,0.005258780893882785,0.0031225053859531855,3944.767681294054,1.0,1,2,1
