QoE,Latency,Energy,Battery,OffloadRatio,Action,TaskClass,Success
-5.7987122070484435e-06,0.03891087856750146,0.02319426895697307,3999.876805731043,1.0,1,3,1
-1.402514864197794e-05,0.08136474664592969,0.0560974642351136,3999.720708266808,1.0,1,3,1
-8.379123081749003e-06,0.05383258246082655,0.033513314194879705,3999.587194952613,1.0,1,3,1
-7.2948262892494436e-06,0.04658134360656374,0.029175564333256836,3999.45801938828,1.0,1,3,1
-8.181620119037648e-06,0.049930409441100686,0.03272122803466171,3999.3252981602454,1.0,1,3,1
-1.0274982934868112e-06,0.0064809267817625815,0.004109197169128936,3999.221188963076,1.0,1,1,1
-6.800350845978915e-06,0.0446135086335854,0.02719542716053726,3999.0939935359156,1.0,1,3,1
-6.053541308777825e-07,0.0037976539762415995,0.0024208075333424068,3998.9915727283824,1.0,1,2,1
-9.588909672193274e-06,0.05507075263044056,0.038345010079787356,3998.8532277183026,1.0,1,3,1
-1.0166762937059558e-05,0.06620770043844618,0.04065437611001372,3998.7125733421926,1.0,1,3,1
-8.37632250818782e-06,0.05524684328242663,0.03349366849960903,3998.5790796736933,1.0,1,3,1
-1.0831380391133484e-05,0.06679780644624753,0.043309047897935105,3998.4357706257956,1.0,1,3,1
-5.7690173267551524e-06,0.03884863497358461,0.02306646833892513,3998.3127041574567,1.0,1,3,1
-1.4718965349466434e-05,0.0833436261353912,0.0588495542522901,3998.1538546032043,1.0,1,3,1
-4.742009046624061e-07,0.0032850259471109327,0.0018958807547418595,3998.05195872245,1.0,1,1,1
-1.3005307484782242e-06,0.008201837437739144,0.00519945945325729,3997.9467592629967,1.0,1,2,1
-5.380093001023385e-06,0.03526284419919069,0.02150878736867487,3997.8252504756283,1.0,1,3,1
-6.930841138040932e-06,0.04599805108756502,0.027707598624581473,3997.697542877004,1.0,1,3,1
-1.0060501245301627e-05,0.06292199981568446,0.04021783505832882,3997.5573250419457,1.0,1,3,1
-7.89421130653331e-06,0.05070509140425979,0.03155677281273053,3997.425768269133,1.0,1,3,1
-9.303146168919308e-06,0.05707654494921379,0.03718770590699542,3997.2885805632263,1.0,1,3,1
-1.0595972854745179e-05,0.0630853405169289,0.042354101694945356,3997.1462264615316,1.0,1,3,1
-7.676887384450188e-06,0.05250766976977993,0.030684873750986764,3997.0155415877807,1.0,1,3,1
-1.2509025887370003e-05,0.07456883285160715,0.04999751997935305,3996.8655440678012,1.0,1,3,1
-1.154309858824776e-05,0.07156389424863324,0.04613505870928633,3996.719409009092,1.0,1,3,1
-8.665501124216004e-06,0.05616541325875758,0.03463270998183179,3996.58477629911,1.0,1,3,1
-8.553547541447818e-06,0.05811654008404897,0.034184122532746886,3996.4505921765776,1.0,1,3,1
-7.222509962153918e-06,0.05343150357619234,0.028863681964255043,3996.3217284946136,1.0,1,3,1
-1.0635854394868463e-05,0.06590996581439645,0.04250323243387828,3996.17922526218,1.0,1,3,1
-6.170391399275902e-06,0.040009270619285935,0.02465737288238287,3996.0545678892977,1.0,1,3,1
-6.989522078066222e-06,0.04444510153849239,0.02792981267521182,3995.9266380766226,1.0,1,3,1
-7.690858354884014e-06,0.04737564317457443,0.030731336684119693,3995.7959067399383,1.0,1,3,1
-9.283622048480973e-06,0.058931072942513194,0.037094530618836066,3995.6588122093194,1.0,1,3,1
-1.0842281065005395e-05,0.06634679253748581,0.043320971653732554,3995.5154912376656,1.0,1,3,1
-9.165699448904541e-06,0.06147951856562475,0.03662077756618174,3995.3788704600997,1.0,1,3,1
-5.8910424769866286e-06,0.04006382500580007,0.023536357533287606,3995.2553341025664,1.0,1,3,1
-7.425379551305843e-06,0.050578756528975276,0.029665544722135662,3995.125668557844,1.0,1,3,1
-7.734812670163442e-06,0.045697571790852674,0.030900775158789393,3994.9947677826854,1.0,1,3,1
-5.2258566654555005e-06,0.033797394513199255,0.02087674745001045,3994.8738910352354,1.0,1,3,1
-6.974559396949401e-06,0.04738067106771478,0.027861787780407925,3994.746029247455,1.0,1,3,1
-7.844805590648622e-06,0.053418196913210016,0.03133722150290276,3994.6146920259525,1.0,1,3,1
-8.883759439533064e-06,0.05340907587900144,0.03548630760163907,3994.479205718351,1.0,1,3,1
-1.2442835138956342e-05,0.07188706498017143,0.04970140193922882,3994.3295043164117,1.0,1,3,1
-7.236697035044603e-06,0.04524764020091185,0.028905028811174252,3994.2005992876007,1.0,1,3,1
-9.081380007921379e-06,0.05705652461469,0.036271945331997214,3994.064327342269,1.0,1,3,1
-6.161779783636853e-06,0.04178051353671196,0.024609928648784356,3993.93971741362,1.0,1,3,1
-8.11552338544266e-06,0.050777004819520105,0.032412099624379936,3993.807305313996,1.0,1,3,1
-6.135348017438092e-06,0.041275231710557914,0.02450278419788625,3993.682802529798,1.0,1,3,1
-9.777695441483844e-06,0.06372747696651869,0.03904803636348388,3993.543754493435,1.0,1,3,1
-8.631062384731447e-06,0.05932744067145466,0.03446766217494901,3993.40928683126,1.0,1,3,1
-7.304671217633986e-07,0.00446008026748502,0.0029169811410626805,3993.306369850119,1.0,1,2,1
-1.1975608269055941e-05,0.07165138603933496,0.047821075222823944,3993.1585487748966,1.0,1,3,1
-1.069333147843846e-05,0.06532590234690568,0.0426990986748624,3993.015849676222,1.0,1,3,1
-8.198729055152796e-06,0.0520470333953051,0.032736835191520555,3992.8831128410307,1.0,1,3,1
-7.766642687377707e-06,0.051617665036326164,0.031010519765631992,3992.7521023212653,1.0,1,3,1
-6.69011281315501e-06,0.04213709181632486,0.026711292988209786,3992.625391028277,1.0,1,3,1
-6.069128234878517e-07,0.003762474278746669,0.0024231148579159107,3992.5229679134195,1.0,1,2,1
-6.761220175464907e-06,0.04283540066871093,0.026993650719645698,3992.3959742627,1.0,1,3,1
-1.1172431861753851e-05,0.06795096644184488,0.04460365474440422,3992.2513706079553,1.0,1,3,1
-8.020742898879882e-06,0.051121842859154026,0.032020019757057344,3992.1193505881984,1.0,1,3,1
-8.90573838631657e-06,0.05858433892855481,0.03555187996945186,3991.983798708229,1.0,1,3,1
-7.4061447207375765e-06,0.047512162540088235,0.029564469121600816,3991.854234239108,1.0,1,3,1
-9.761724566527557e-06,0.05890321356813197,0.038966405371912295,3991.715267833736,1.0,1,3,1
-6.734548480967002e-07,0.004354141703157682,0.0026881726538594383,3991.6125796610822,1.0,1,1,1
-1.0961885412113323e-05,0.06903832585586703,0.04375450351925363,3991.468825157563,1.0,1,3,1
-7.624486325580094e-06,0.047484084267957236,0.030432137027760525,3991.3383930205355,1.0,1,3,1
-1.1067357676147365e-05,0.06507804991433946,0.0441724628663299,3991.1942205576693,1.0,1,3,1
-9.102566488038882e-06,0.059042121824622984,0.036329200502653904,3991.0578913571667,1.0,1,3,1
-6.556022921871313e-06,0.03974355767916843,0.026164811415960786,3990.9317265457507,1.0,1,3,1
-1.3231681890499267e-05,0.07809523609300467,0.05280541588416533,3990.778921129867,1.0,1,3,1
-7.686033490702477e-06,0.04901967013781586,0.030672491838444584,3990.6482486380287,1.0,1,3,1
-8.755441550574133e-06,0.05787655403579607,0.034939011945696236,3990.513309626083,1.0,1,3,1
-8.828065866410519e-06,0.05787017409273241,0.035227631531580254,3990.3780819945514,1.0,1,3,1
-7.809158200069126e-06,0.05140967875905839,0.031160712804563853,3990.246921281747,1.0,1,3,1
-5.419552891222953e-06,0.03447687865778533,0.021624812283636854,3990.125296469463,1.0,1,3,1
-9.283747522046782e-06,0.05793467664706364,0.03704238745900236,3989.988254082004,1.0,1,3,1
-1.1388701465196403e-05,0.07075340113135156,0.045439646205233636,3989.842814435799,1.0,1,3,1
-5.0042318102795415e-06,0.03535677520790567,0.019965597906833853,3989.7228488378923,1.0,1,3,1
-6.188920672879071e-06,0.040409793893373035,0.024691459326163526,3989.598157378566,1.0,1,3,1
-1.293254301577252e-05,0.07634553518374877,0.051594356531643515,3989.4465630220348,1.0,1,3,1
-5.063593455326443e-06,0.034981907236734826,0.020200429147547414,3989.326362592887,1.0,1,3,1
-1.0994524448831761e-05,0.06840607761437845,0.04385964677545169,3989.1825029461115,1.0,1,3,1
-1.4553039625149685e-05,0.07989416225826734,0.05805327573336604,3989.024449670378,1.0,1,3,1
-5.655514424331024e-06,0.03997782284755896,0.022559419762677516,3988.9018902506155,1.0,1,3,1
-6.4531145883306165e-06,0.04212721968466025,0.025740195667936987,3988.7761500549477,1.0,1,3,1
-1.0462632913881226e-05,0.06282934907948054,0.04173205437037795,3988.6344180005776,1.0,1,3,1
-7.595623219437873e-06,0.04729121930271253,0.03029540463689231,3988.5041225959408,1.0,1,3,1
-1.1134092445520001e-05,0.06699515689106764,0.04440726021107629,3988.3597153357296,1.0,1,3,1
-7.823242549825154e-07,0.005391095784330557,0.003120112310476804,3988.256595223419,1.0,1,2,1
-7.504548961491374e-06,0.05001784496444665,0.029929316434948883,3988.1266659069843,1.0,1,3,1
-7.814364682223372e-06,0.04710496045830401,0.031163894729828567,3987.9955020122547,1.0,1,3,1
-9.985829241582565e-06,0.06402118745549729,0.03982244351636956,3987.8556795687387,1.0,1,3,1
-5.15383886398753e-06,0.03541925696741709,0.02055225020144837,3987.7351273185373,1.0,1,3,1
-9.324840630520601e-06,0.06091273724842114,0.037184062054911086,3987.5979432564823,1.0,1,3,1
-1.486653916794055e-06,0.008995013199386772,0.0059280294355504885,3987.492015227047,1.0,1,2,1
-2.952966067270061e-07,0.001983038086299259,0.0011774633317869056,3987.3908377637154,1.0,1,1,1
-6.591371725933193e-06,0.043395376400645135,0.02628171609110823,3987.2645560476244,1.0,1,3,1
-7.483437374251256e-07,0.004801130956294826,0.002983769625601671,3987.161572277999,1.0,1,1,1
-1.1130567851940933e-05,0.0646956706585434,0.044378259360106566,3987.0171940186387,1.0,1,3,1
-1.1589860285347165e-05,0.07007688537138951,0.046207813247924376,3986.870986205391,1.0,1,3,1
-1.0995465020460573e-05,0.06776448845025206,0.04383640092340848,3986.727149804468,1.0,1,3,1
-7.4552928842751405e-06,0.050572359725939715,0.029721473022195334,3986.597428331446,1.0,1,3,1
-6.761359417101837e-06,0.0457228116185263,0.026954141928301076,3986.4704741895175,1.0,1,3,1
-1.0393820725945481e-05,0.06516017342513677,0.04143362005592812,3986.3290405694615,1.0,1,3,1
-1.2795386532273835e-05,0.07632589787266567,0.05100534138026134,3986.178035228081,1.0,1,3,1
-3.130218016060155e-07,0.0020778607718175196,0.0012477293279292605,3986.076787498753,1.0,1,1,1
-7.564923397570232e-06,0.05119446431800627,0.030153609061921147,3985.9466338896914,1.0,1,3,1
-1.0975812496752323e-05,0.0664666924604462,0.04374790529438466,3985.802885984397,1.0,1,3,1
-8.321836280270875e-06,0.05084019744936006,0.03316836687896529,3985.669717617518,1.0,1,3,1
-7.070945476573786e-06,0.04386946404116594,0.02818174616635705,3985.5415358713517,1.0,1,3,1
-5.582097724654776e-06,0.03543663967777659,0.022247124129132108,3985.4192887472227,1.0,1,3,1
-1.0187408288487923e-05,0.06524441745886414,0.04060007475445425,3985.2786886724684,1.0,1,3,1
-6.185003513164185e-06,0.0379466695656298,0.024648344190026258,3985.1540403282784,1.0,1,3,1
-1.019439252722991e-05,0.06365755024705341,0.04062520512932996,3985.013415123149,1.0,1,3,1
-7.797509776765251e-06,0.04605475682122083,0.031072401313985764,3984.8823427218354,1.0,1,3,1
-7.997639697670423e-06,0.05055101801881448,0.0318688534507283,3984.7504738683847,1.0,1,3,1
-8.413561549870291e-06,0.05415978636386577,0.03352510201661148,3984.6169487663683,1.0,1,3,1
-6.280655394127158e-06,0.04103018535463476,0.025025377867260577,3984.491923388501,1.0,1,3,1
-8.392314004286413e-06,0.05010047417350481,0.03343826813721899,3984.358485120364,1.0,1,3,1
-8.779174794406292e-06,0.053386364347724063,0.034978501666968094,3984.2235066186972,1.0,1,3,1
-1.2847720850182384e-05,0.07631627440813216,0.05118690664568679,3984.0723197120515,1.0,1,3,1
-5.165156107948018e-06,0.035841261751646744,0.020577838961056538,3983.9517418730907,1.0,1,3,1
-6.352543709088277e-06,0.03967754984347408,0.025307592320776277,3983.82643428077,1.0,1,3,1
-7.689093602076331e-06,0.045076392089540486,0.030631245438250628,3983.695803035332,1.0,1,3,1
-1.2772196272396194e-05,0.0746791637248117,0.050879267466260994,3983.544923767866,1.0,1,3,1
-1.0752409087167814e-05,0.06655194284585245,0.0428316293965541,3983.4020921384695,1.0,1,3,1
-1.0609462741862382e-05,0.06390879380635694,0.04226069513612557,3983.2598314433335,1.0,1,3,1
-6.834687875636927e-06,0.041205006112268266,0.02722365420668978,3983.1326077891267,1.0,1,3,1
-8.456457117769243e-07,0.005444184200141211,0.003368234444644535,3983.029239554682,1.0,1,2,1
-5.556251314175668e-07,0.0035175985294283404,0.0022130155821544397,3982.9270265391,1.0,1,2,1
-1.0340838556018966e-05,0.06452481372359842,0.0411857712779899,3982.7858407678223,1.0,1,3,1
-1.3157325897228434e-06,0.008026234335659977,0.005240149555325947,3982.680600618267,1.0,1,2,1
-8.259102859222589e-06,0.05025209918945367,0.032892542825650746,3982.5477080754413,1.0,1,3,1
-8.501597225838984e-06,0.05474952853516982,0.03385716638702299,3982.4138509090544,1.0,1,3,1
-1.624735026050377e-05,0.08620201551221508,0.06470204798297499,3982.2491488610717,1.0,1,3,1
-5.320530786202943e-06,0.03819071697442081,0.021187147141767178,3982.12796171393,1.0,1,3,1
-8.553435811552729e-06,0.05363852597514982,0.034060020570328246,3981.9939016933595,1.0,1,3,1
-7.947477355355077e-06,0.04885580175264434,0.03164601161513445,3981.8622556817445,1.0,1,3,1
-7.828704877149755e-06,0.05223793222330763,0.031172041590706485,3981.731083640154,1.0,1,3,1
-8.625169581912275e-06,0.05881081038110475,0.034342243309009465,3981.596741396845,1.0,1,3,1
-8.810992372794481e-06,0.06008709701106319,0.03508093742075368,3981.4616604594244,1.0,1,3,1
-7.680737079166164e-07,0.004867559358354997,0.003057979213106127,3981.358602480211,1.0,1,2,1
-8.951386400580582e-06,0.059381947325150175,0.03563778411143582,3981.2229646961,1.0,1,3,1
-1.150471510889232e-05,0.06967338077493158,0.045801685522297415,3981.077163010578,1.0,1,3,1
-8.219768268951771e-06,0.05277614306416904,0.03272270976393599,3980.9444403008138,1.0,1,3,1
-5.973586516890038e-06,0.03714700302311004,0.023779918674417613,3980.8206603821395,1.0,1,3,1
-8.871267774822399e-07,0.00518567809480916,0.0035314038915017815,3980.717128978248,1.0,1,2,1
-6.394285659186148e-06,0.041023824312041934,0.02545320302253635,3980.5916757752257,1.0,1,3,1
-9.42309887866015e-06,0.05953847157796516,0.03750856664651359,3980.4541672085793,1.0,1,3,1
-8.533219142384897e-06,0.05167772087202087,0.033965234373095746,3980.320201974206,1.0,1,3,1
