QoE,Latency,Energy,Battery,OffloadRatio,Action,TaskClass,Success
-6.2951999984017914e-06,0.04115150573829095,0.025180170473607325,3999.8748198295266,1.0,1,3,1
-5.545657435566889e-06,0.03682825230371597,0.02218138097018083,3999.7526384485564,1.0,1,3,1
-6.930703558285706e-06,0.04156826748429778,0.02772040677320222,3999.624918041783,1.0,1,3,1
-5.710707743039009e-06,0.039449296693840924,0.02284011791793867,3999.5020779238653,1.0,1,3,1
-6.07109700191593e-06,0.039760276614776546,0.02428075796473992,3999.3777971659006,1.0,1,3,1
-1.1156643926702105e-05,0.06885859823302273,0.04461851834694552,3999.233178647554,1.0,1,3,1
-6.291464669875308e-06,0.039950747000932575,0.025160405103587222,3999.1080182424503,1.0,1,3,1
-9.135745741451948e-06,0.05950340510303684,0.03653392047269066,3998.9714843219776,1.0,1,3,1
-8.287809161870124e-06,0.054717482635783465,0.03314188372490487,3998.8383424382528,1.0,1,3,1
-0.1,0.0719123221750498,4.602388619203187,3994.1359538190495,0.0,0,2,0
-6.598248641250911e-06,0.04437620141329632,0.026353642305393832,3994.0096001767442,1.0,1,3,1
-6.80315200609078e-06,0.04484752253308591,0.02717117410858764,3993.882429002636,1.0,1,3,1
-1.0239990985503015e-05,0.06250017105557804,0.040896296071047326,3993.741532706565,1.0,1,3,1
-1.1883700221306293e-05,0.07174119637438486,0.047459238766043015,3993.5940734677993,1.0,1,3,1
-9.567307079088832e-06,0.06287389178673053,0.03820698411938777,3993.45586648368,1.0,1,3,1
-1.0795268106703526e-05,0.0668293199009762,0.0431093472241687,3993.3127571364557,1.0,1,3,1
-5.984984280121765e-06,0.040697231956407925,0.02389931557864338,3993.1888578208773,1.0,1,3,1
-1.6655948129432634e-05,0.09033601646442956,0.06650868089207994,3993.022349139985,1.0,1,3,1
-9.344201702281302e-06,0.05695848141474935,0.0373106718119109,3992.885038468173,1.0,1,3,1
-0.1,0.04902015044869757,3.1372896287166445,3989.6477488394567,0.0,0,2,0
-1.0807297648519545e-05,0.06586564357503748,0.04311623000468911,3989.504632609452,1.0,1,3,1
-9.574225645328599e-06,0.05723360154243134,0.03819546014312213,3989.366437149309,1.0,1,3,1
-4.532737991550515e-06,0.0313815636610944,0.01808229953808404,3989.248354849771,1.0,1,3,1
-8.66455949904882e-06,0.05172130320949456,0.03456421327112856,3989.1137906365,1.0,1,3,1
-6.176820788216982e-06,0.039484766057769786,0.02463942330648776,3988.989151213194,1.0,1,3,1
-7.1428528791225145e-06,0.044139693840216564,0.028492048358243725,3988.860659164836,1.0,1,3,1
-6.939832566255246e-06,0.04317217593618323,0.027681331121469872,3988.7329778337144,1.0,1,3,1
-1.0308638096810735e-05,0.0647285467588587,0.041117373869492276,3988.591860459845,1.0,1,3,1
-7.930843622099053e-06,0.05221663667408384,0.03163210523332195,3988.460228354612,1.0,1,3,1
-6.301748160683878e-06,0.037977245153766895,0.02513364173317841,3988.335094712879,1.0,1,3,1
-6.116486971179206e-06,0.04072444418148592,0.02439398799481099,3988.210700724884,1.0,1,3,1
-0.1,0.050095537544526045,3.2061144028496664,3984.9045863220344,0.0,0,2,0
-8.431609499870424e-06,0.058973354523639,0.0335983162051601,3984.770988005829,1.0,1,3,1
-9.830667201630418e-06,0.06072847899968064,0.03917197439107718,3984.631816031438,1.0,1,3,1
-6.229558991794711e-06,0.040915923217431455,0.024821876002650758,3984.5069941554357,1.0,1,3,1
-8.73870114682616e-06,0.05351414892735193,0.03481854196924828,3984.3721756134664,1.0,1,3,1
-9.852679886466667e-06,0.06302715349285393,0.03925575832687559,3984.2329198551397,1.0,1,3,1
-7.674627165593738e-06,0.04693972259216331,0.030576734738056555,3984.1023431204017,1.0,1,3,1
-1.1351887285740298e-05,0.06801321566056076,0.04522594554522805,3983.9571171748566,1.0,1,3,1
-1.0457258309568483e-05,0.0670557085527824,0.04166022294271031,3983.815456951914,1.0,1,3,1
-8.572055603418905e-06,0.05011200320348356,0.03414863040519116,3983.681308321509,1.0,1,3,1
-9.97766196974156e-06,0.06324001320394469,0.03974682772341284,3983.5415614937856,1.0,1,3,1
-8.610757732277445e-06,0.054796171086911497,0.034300450226707954,3983.407261043559,1.0,1,3,1
-0.1,0.07235326776860625,4.6306091371908,3978.6766519063685,0.0,0,2,0
-7.51576090273504e-06,0.04912808996228771,0.02990203084893236,3978.5467498755197,1.0,1,3,1
-9.941628569331959e-06,0.0651204852962175,0.03955223987012835,3978.4071976356495,1.0,1,3,1
-8.509505639383441e-06,0.05227882274787993,0.03385342753348029,3978.273344208116,1.0,1,3,1
-0.1,0.056760824278559184,3.632692753827788,3974.5406514542883,0.0,0,1,0
-1.0450014676005824e-05,0.0627690002226422,0.041532963136611464,3974.399118491152,1.0,1,3,1
-0.1,0.03156833764432912,2.0203736092370637,3972.278744881915,0.0,0,1,0
-9.23902491868057e-06,0.05931150309435869,0.036699058405417324,3972.1420458235098,1.0,1,3,1
-7.2228811408625e-06,0.045763862928420954,0.028689587583491532,3972.0133562359265,1.0,1,3,1
-9.310984848957314e-06,0.06198089706701987,0.0369824250812839,3971.8763738108455,1.0,1,3,1
-1.0275208275397094e-05,0.0643664069439583,0.04081082946420786,3971.7355629813815,1.0,1,3,1
-0.1,0.04408051871343983,2.821153197660149,3968.814409783721,0.0,0,2,0
