QoE,Latency,Energy,Battery,OffloadRatio,Action,TaskClass,Success
-8.032552485719605e-07,0.003475850983840004,0.0032129406687629847,3999.8967870593315,1.0,2,1,1
-1.058149612857199e-06,0.004506356533917212,0.0042323834217343,3999.7925546759097,1.0,2,1,1
-8.674461975088491e-07,0.0036617704707307876,0.0034695180977580725,3999.689085157812,1.0,2,1,1
-1.0005164898308923e-06,0.004243494181240868,0.004001654832248043,3999.5850835029796,1.0,2,1,1
-1.1826384297976555e-06,0.004999679827808703,0.004729944759153109,3999.4803535582205,1.0,2,1,1
-5.956720423759286e-07,0.0025347131187943017,0.0023823190634421885,3999.377971239157,1.0,2,1,1
-7.707436894801279e-07,0.003277198794771637,0.0030824182588094686,3999.2748888208985,1.0,2,1,1
-2.5789735932512513e-07,0.0011058014720901172,0.0010313766433062606,3999.173857444255,1.0,2,1,1
-6.186672867790104e-07,0.002638058507830019,0.0024740961730139086,3999.0713833480822,1.0,2,1,1
-1.0106968348375263e-06,0.004302438055053957,0.004041747719755751,3998.9673416003625,1.0,2,1,1
-5.959674790814763e-07,0.0025431343310379217,0.0023831948887548127,3998.8649584054738,1.0,2,1,1
-5.280074466952143e-07,0.00224884662216938,0.002111377675621969,3998.762847027798,1.0,2,1,1
-2.854930079311222e-07,0.001222542350648471,0.0011415902839003909,3998.6617054375142,1.0,2,1,1
-7.428418344642266e-07,0.003128839098877753,0.0029702989124856098,3998.558735138602,1.0,2,1,1
-7.00185443439535e-07,0.0029757811349776855,0.0027996626025377047,3998.4559354759995,1.0,2,1,1
-8.0734960712546e-07,0.0033996451622004056,0.0032280710936542995,3998.3527074049057,1.0,2,1,1
-5.028234348397371e-07,0.002170305782165602,0.002010415159694613,3998.2506969897463,1.0,2,1,1
-1.0785809130747052e-06,0.004558800141823911,0.00431232902936947,3998.146384660717,1.0,2,1,1
-3.3364569475981965e-07,0.0014205445832786772,0.0013339309636921102,3998.0450507297537,1.0,2,1,1
-1.2869143207305869e-06,0.005401247703152236,0.005145012739278093,3997.9399057170144,1.0,2,1,1
-1.1080867886407279e-06,0.004683682984020164,0.004429953582625717,3997.835475763432,1.0,2,1,1
-4.2264568124523054e-07,0.0018117260072068456,0.0016896256335922615,3997.7337861377987,1.0,2,1,1
-9.491653138282756e-07,0.004038296620131782,0.0037944153271900014,3997.6299917224715,1.0,2,1,1
-8.607452133503615e-07,0.003642514188123441,0.0034408548055996275,3997.526550867666,1.0,2,1,1
-9.580000888345368e-07,0.004062854241769094,0.00382953499084076,3997.4227213326753,1.0,2,1,1
-6.432576601119857e-07,0.0027151216823155947,0.0025713084604369317,3997.320150024215,1.0,2,1,1
-5.200068019935242e-07,0.002185964458150665,0.002078581667078167,3997.218071442548,1.0,2,1,1
-4.7525410572084583e-07,0.002015997969602292,0.0018996467745040601,3997.116171795774,1.0,2,1,1
-8.932752720487426e-07,0.0037952140695189165,0.0035704357082440934,3997.0126013600657,1.0,2,1,1
-1.019475919130847e-06,0.00433367463698479,0.004074756147957218,3996.908526603918,1.0,2,1,1
-8.830346406961923e-07,0.0037554628805073595,0.003529320381221168,3996.8049972835365,1.0,2,1,1
-9.163743267093884e-07,0.003913020248625984,0.003662477850941749,3996.7013348056857,1.0,2,2,1
-2.746686566716123e-07,0.0011744759864570381,0.0010977411198830505,3996.600237064566,1.0,2,1,1
-4.629971244277499e-07,0.001994941389954995,0.001850368117535715,3996.4983866964485,1.0,2,1,1
-8.444028376984235e-07,0.0035684426105426076,0.0033745701382998827,3996.39501212631,1.0,2,1,1
-9.231785748782164e-07,0.003937454899969479,0.0036892939340876915,3996.291322832376,1.0,2,1,1
-6.066883692857454e-07,0.0025858668565907003,0.00242444279700302,3996.188898389579,1.0,2,1,1
-7.407194044718964e-06,0.031600962893411313,0.029599805890318857,3996.059298583689,1.0,2,3,1
-1.0420725325482148e-06,0.004413916677641586,0.004164079426234693,3995.955134504263,1.0,2,1,1
-6.138057310561421e-07,0.002631099256145875,0.0024526787820288278,3995.852681825481,1.0,2,1,1
-6.47196429306088e-07,0.002752279134298219,0.0025860368680676767,3995.7500957886127,1.0,2,1,1
-6.210645246652303e-07,0.0026536863381575754,0.0024815565274695366,3995.6476142320853,1.0,2,1,1
-6.304602557412173e-07,0.00266830747335896,0.0025190339706949714,3995.5450951981147,1.0,2,2,1
-1.3556683631041617e-06,0.005660178736113515,0.005416498512079779,3995.4396786996026,1.0,2,1,1
-8.742193266006144e-07,0.003752535872535624,0.0034928031634534817,3995.3361858964395,1.0,2,1,1
-6.1504572256311174e-06,0.02599136538743186,0.024572529267649662,3995.211613367172,1.0,2,3,1
-8.129478506448688e-07,0.003428295477008367,0.0032478173991731963,3995.1083655497728,1.0,2,1,1
-7.683440550569601e-07,0.003320922897878215,0.0030695409275729906,3995.005296008845,1.0,2,1,1
-8.247545479718765e-07,0.0035071511410298753,0.0032948163116002308,3994.9020011925336,1.0,2,1,1
-4.632181445795916e-07,0.0019719861318644775,0.001850464770955245,3994.8001507277627,1.0,2,1,1
-8.930594437033591e-07,0.0038145599330335605,0.003567504694370661,3994.6965832230685,1.0,2,1,1
-6.492956426103485e-07,0.002736160551468704,0.0025936741554729247,3994.593989548913,1.0,2,1,1
-1.1475387172257254e-06,0.004853424530298302,0.00458383650873283,3994.4894057124047,1.0,2,1,1
-8.268016812733661e-07,0.0035729728876616423,0.003302567876303538,3994.3861031445285,1.0,2,1,1
-8.771855523760871e-07,0.0037005545651988495,0.003503730061734962,3994.282599414467,1.0,2,1,1
-2.9547150786620474e-07,0.0012507170856006248,0.0011801671553419498,3994.1814192473116,1.0,2,1,1
-1.0629326973817139e-06,0.004512319939793102,0.004245439736522729,3994.077173807575,1.0,2,1,1
-4.135298692244561e-07,0.001749145012880218,0.0016516288583701092,3993.975522178717,1.0,2,1,1
-9.227521078590087e-07,0.003935965842705639,0.00368535705661691,3993.87183682166,1.0,2,1,1
-3.7867904392898277e-07,0.001597474753048906,0.0015123577008381236,3993.7703244639592,1.0,2,1,1
-6.397146653814328e-07,0.002683670242480704,0.0025548094752582203,3993.667769654484,1.0,2,1,1
-1.0639038216691839e-06,0.004491594868236824,0.004248772012230284,3993.563520882472,1.0,2,1,1
-4.192195241582327e-07,0.0017938354845111269,0.0016741378769676103,3993.4618467445953,1.0,2,1,1
-1.2764843048457414e-06,0.005365979657325975,0.005097463720939281,3993.3567492808743,1.0,2,1,1
-5.91171340404507e-07,0.0025013694356197423,0.002360698945051719,3993.254388581929,1.0,2,1,1
-1.0003514914884272e-06,0.004219770948763957,0.003994557948361492,3993.150394023981,1.0,2,1,1
-9.50900814465116e-07,0.004046942642030634,0.003796994871877656,3993.0465970291093,1.0,2,1,1
-9.176625666775025e-07,0.003923485152264386,0.003664177622835932,3992.9429328514866,1.0,2,1,1
-6.361621257404077e-07,0.0027044008771805518,0.0025400954479103655,3992.840392756039,1.0,2,1,1
-3.2023991883671326e-07,0.0013696621171304865,0.0012786348593122605,3992.7391141211797,1.0,2,1,1
-3.3000670551707834e-07,0.0013969583083392441,0.0013175976803697566,3992.637796523499,1.0,2,1,1
-1.39885499214945e-06,0.005815264816112144,0.005584981428012262,3992.5322115420713,1.0,2,1,1
-3.912408143750089e-07,0.0016473921018616024,0.0015620024297807377,3992.4306495396418,1.0,2,1,1
-6.834599084431856e-07,0.0029432441925991994,0.0027285979402092873,3992.3279209417014,1.0,2,1,1
-5.42371935257753e-07,0.0023067381210103784,0.0021652723834711864,3992.225755669318,1.0,2,1,1
-4.286546788374198e-07,0.0018147785939537995,0.0017112433836750235,3992.1240444259342,1.0,2,1,1
-2.8276953956421453e-07,0.0011986803940943055,0.0011288228009715949,3992.0229156031332,1.0,2,1,1
-8.600156732819552e-07,0.00359455791950813,0.003433116273952094,3991.9194824868596,1.0,2,1,1
-1.0576253384951817e-06,0.004486509145482026,0.0042218494313768255,3991.8152606374283,1.0,2,1,1
-3.784699119686546e-07,0.00161460312739933,0.0015107441232973828,3991.7137498933052,1.0,2,1,1
-8.893187877447663e-07,0.003769720254396548,0.003549817101200455,3991.6102000762044,1.0,2,1,1
-3.7742991242575985e-07,0.0016108388437660684,0.0015065153452612891,3991.5086935608592,1.0,2,1,1
-4.108687380378274e-07,0.0017443548204771617,0.0016399450529165636,3991.4070536158065,1.0,2,1,1
-6.247337567594254e-07,0.0026386892759125502,0.002493504249985796,3991.3045601115564,1.0,2,1,1
-6.908098292120274e-07,0.002950637882232311,0.002757163340520929,3991.201802948216,1.0,2,1,1
-5.966877229303237e-07,0.0025422764135246837,0.0023814414467842803,3991.0994215067694,1.0,2,1,1
-3.6320845239466476e-07,0.0015429202601456758,0.0014495647233934762,3990.997971942046,1.0,2,1,1
-5.590827585482742e-07,0.0023794882028830094,0.002231242247238072,3990.8957406997993,1.0,2,1,1
-7.813354050956966e-07,0.0033576984899218966,0.0031181500067138583,3990.7926225497927,1.0,2,1,1
-7.535897069061312e-07,0.0031829960499724975,0.0030073448837797585,3990.689615204909,1.0,2,1,1
-9.149805841810792e-07,0.0038823280016791533,0.0036513120173471358,3990.585963892892,1.0,2,1,1
-1.2669009185317269e-06,0.005381697263047895,0.005055550333043868,3990.480908342559,1.0,2,2,1
-6.400158053344347e-06,0.02749265832298125,0.02553906850644016,3990.3553692740525,1.0,2,3,1
-9.819612590905403e-07,0.004189923701911946,0.003918276186505137,3990.251450997866,1.0,2,1,1
-1.0162857446399394e-06,0.004306900659622501,0.004055134038603501,3990.1473958638276,1.0,2,1,1
-1.0196317847917887e-06,0.004304222611400443,0.004068379147648463,3990.04332748468,1.0,2,1,1
-1.1395114328880169e-06,0.004813155398736014,0.0045465860382440495,3989.938780898642,1.0,2,1,1
-4.811245354245943e-07,0.002016569583237219,0.001919609329878889,3989.8368612893123,1.0,2,1,1
-1.0983664450354378e-06,0.004633150100933022,0.004382193092961188,3989.7324790962193,1.0,2,1,1
-1.3138322597166778e-06,0.005497331082649118,0.005241707855450037,3989.627237388364,1.0,2,2,1
-3.420540772495794e-07,0.0014692139896819484,0.0013646340578469405,3989.525872754306,1.0,2,1,1
-1.235593799697666e-06,0.005184506454976159,0.00492930987272867,3989.4209434444333,1.0,2,1,1
-9.028073142761473e-07,0.003874259044692456,0.0036015881267366548,3989.3173418563065,1.0,2,1,1
-4.4698546232497966e-07,0.001891487934955336,0.0017831221578644676,3989.2155587341485,1.0,2,1,1
-3.3522695145269403e-07,0.0014239233617085085,0.0013372590477469589,3989.1142214751007,1.0,2,1,1
-4.714998825419565e-07,0.0019880228685675164,0.0018808197368837042,3989.012340655364,1.0,2,1,1
-3.718272757815591e-07,0.001587209722839984,0.0014831864089573264,3988.910857468955,1.0,2,1,1
-1.232648656157246e-06,0.0051784262330017644,0.004916802343124539,3988.805940666612,1.0,2,2,1
-8.302501811333489e-07,0.003496844060690082,0.0033116238297261195,3988.7026290427825,1.0,2,1,1
-1.4003079467596547e-06,0.005852771057738744,0.00558527195791506,3988.5970437708247,1.0,2,1,1
-4.7172411655955536e-07,0.0020009789986813083,0.0018814702443731906,3988.4951623005804,1.0,2,1,1
-1.1610431807344878e-06,0.004920870285335935,0.0046306990052635095,3988.3905316015753,1.0,2,2,1
-8.952964830336807e-07,0.0037963786932941903,0.003570702486259419,3988.286960899089,1.0,2,1,1
-3.4416403953270365e-07,0.0014652490616666124,0.0013725905348746874,3988.185588308554,1.0,2,1,1
-6.015177198692645e-07,0.0025649637280977778,0.0023989041497228356,3988.0831894044045,1.0,2,1,1
-6.137472466177091e-07,0.0026055627524491087,0.002447613702054663,3987.9807417907027,1.0,2,1,1
-5.211382559678384e-07,0.002211935365265844,0.0020782372147845367,3987.878663553488,1.0,2,1,1
-6.995447503071947e-07,0.002948484676279375,0.0027896296294758834,3987.7758739238584,1.0,2,1,1
-3.9908171504865704e-07,0.0016747620979678352,0.0015914085268236857,3987.6742825153315,1.0,2,1,1
-6.909408499030711e-07,0.002943448713171314,0.0027551779638127724,3987.5715273373676,1.0,2,1,1
-9.092358287188569e-07,0.0038489085456644753,0.0036255519786514375,3987.467901785389,1.0,2,1,1
-6.145432742823123e-07,0.0026150501316890345,0.0024504101261313867,3987.365451375263,1.0,2,2,1
-2.704708913053054e-07,0.0011506929447025933,0.0010784392405043183,3987.2643729360225,1.0,2,1,1
-7.802112605024398e-07,0.003331639817511955,0.003110830541238834,3987.1612621054815,1.0,2,1,1
-2.842793346145875e-07,0.001209276554084773,0.0011334391226589437,3987.060128666359,1.0,2,1,1
-3.155074280686525e-07,0.0013459409799554862,0.0012579155360077868,3986.9588707508233,1.0,2,1,1
-8.339938632747415e-06,0.035707684340114426,0.03325015831948652,3986.825620592504,1.0,2,3,1
-6.575611491507597e-07,0.002740814709930758,0.0026215158804255827,3986.7229990766236,1.0,2,1,1
-5.504277382751847e-07,0.0023673549425730317,0.00219434788073758,3986.6208047287428,1.0,2,1,1
-9.857218861257294e-06,0.04113987004811571,0.03929600806716677,3986.4815087206757,1.0,2,3,1
-1.0415750045888315e-06,0.004422880330066482,0.004152115338238571,3986.3773566053374,1.0,2,1,1
-9.291427872934761e-07,0.003955393119384228,0.003703820854041153,3986.2736527844836,1.0,2,1,1
-6.843209369021231e-07,0.002934670843299151,0.002727822088728036,3986.170924962395,1.0,2,1,1
-6.203512500224262e-07,0.0026335344542413033,0.00247276408097847,3986.068452198314,1.0,2,1,1
-8.33797507740148e-07,0.0035025528380238386,0.0033234905613738095,3985.9651287077527,1.0,2,1,1
-7.782573412247888e-07,0.0032678648320099376,0.003102028797548696,3985.8620266789553,1.0,2,1,1
-3.903766800271553e-07,0.001650335983098409,0.0015559485473532367,3985.760470730408,1.0,2,1,1
-6.814833268709187e-07,0.0029078704117051794,0.0027161611573712705,3985.6577545692508,1.0,2,1,1
-5.556223261134581e-07,0.0023314212170081577,0.002214464870453298,3985.5555401043803,1.0,2,1,1
-6.391062269954146e-06,0.02707799644620657,0.025471294530940828,3985.430068809849,1.0,2,3,1
-9.763774052137784e-07,0.004078273063963971,0.003891186231505009,3985.3261776236177,1.0,2,1,1
-5.21113713003102e-07,0.0022400984332541667,0.002076756010578603,3985.2241008676074,1.0,2,1,1
-1.265889829246011e-06,0.005336960014859842,0.005044728067571459,3985.1190561395397,1.0,2,2,1
-6.834378787465629e-07,0.002874952023712451,0.0027235129704926376,3985.0163326265692,1.0,2,1,1
-7.65469655792338e-07,0.003296786518223568,0.0030503325334969257,3984.913282294036,1.0,2,1,1
-9.515952474347827e-07,0.003936321932486576,0.003791929381346002,3984.8094903646547,1.0,2,1,1
-4.967316348633682e-07,0.0021043457680625186,0.001979331259604414,3984.7075110333953,1.0,2,1,1
-4.962762872439402e-07,0.0021033625933564765,0.0019774662216999707,3984.6055335671736,1.0,2,1,1
-1.305805629248139e-06,0.0054607136498628465,0.005202989755502375,3984.500330577418,1.0,2,1,1
-4.4749888573659603e-07,0.0018905021788155863,0.0017830147082619195,3984.39854756271,1.0,2,1,1
-8.332356044857448e-07,0.0035810127316176863,0.00331985940873009,3984.2952277033014,1.0,2,1,1
-1.1719078338952148e-06,0.0049307252238903814,0.004669109599113428,3984.1905585937025,1.0,2,1,1
-8.819425238732872e-07,0.00375514751253411,0.003513738882585865,3984.08704485482,1.0,2,1,1
-9.205354504585895e-06,0.03887401740076917,0.036674013089566165,3983.9503708417305,1.0,2,3,1
-8.184896463761831e-07,0.0034858033750624256,0.003260740281245874,3983.8471101014493,1.0,2,1,1
-8.540366825362552e-07,0.003638715535924925,0.0034022661659744353,3983.743707835283,1.0,2,1,1
-1.0545747173529484e-06,0.0044031168953387375,0.004201049937225245,3983.639506785346,1.0,2,1,1
-4.775838686259677e-07,0.0020514275905083247,0.001902474208474925,3983.5376043111373,1.0,2,1,1
-1.0677411602276884e-06,0.004519835842930218,0.004253280289321777,3983.433351030848,1.0,2,1,1
-8.851672107067492e-07,0.00372711013122158,0.003525916071647144,3983.329825114776,1.0,2,1,1
-6.801144501162983e-07,0.002890968956889303,0.0027090521621947754,3983.227116062614,1.0,2,1,1
-4.5928518137600737e-07,0.001974054519824502,0.0018293912599445109,3983.1252866713544,1.0,2,1,1
-7.482717812171886e-07,0.003202062113332717,0.0029803854258906777,3983.0223062859286,1.0,2,1,1
-6.659500278417855e-07,0.002826903083683508,0.002652427220762783,3982.919653858708,1.0,2,1,1
-1.0320557449778703e-06,0.004373147920191988,0.0041104919049756525,3982.815543366803,1.0,2,1,1
-9.82190220246175e-07,0.004145168983150869,0.003911784256717305,3982.7116315825465,1.0,2,1,1
-2.4351630118559474e-07,0.0010413273057372713,0.0009698308535817083,3982.610661751693,1.0,2,1,1
-7.092548433801965e-07,0.0029764179597311633,0.0028246149756606595,3982.5078371367176,1.0,2,1,1
-3.48039273773311e-07,0.0014733812339017241,0.0013860343315062055,3982.406451102386,1.0,2,1,1
-8.196931481142113e-07,0.0035146082174792198,0.0032642693116596475,3982.3031868330745,1.0,2,1,1
-5.946295522790383e-07,0.0025342065531043932,0.002367935698070711,3982.2008188973764,1.0,2,1,1
-6.325056316167536e-07,0.0026904365811861227,0.0025187011936182767,3982.0983001961827,1.0,2,1,1
-9.03766418455697e-07,0.003849121476472803,0.0035987963420649775,3981.994701399841,1.0,2,1,1
-3.5777180163049435e-07,0.001503330368186989,0.0014246096412227403,3981.8932767901997,1.0,2,1,1
-8.658351894232842e-07,0.0037009970777706447,0.003447576736054002,3981.7898292134637,1.0,2,1,1
-1.1350483081306998e-06,0.004781177688886164,0.004519410304149957,3981.6853098031597,1.0,2,1,1
-3.1292567874434876e-07,0.001317812819622967,0.001245940285548682,3981.5840638628742,1.0,2,1,1
-1.0472963059471283e-06,0.004369612826647851,0.004169793552270948,3981.479894069322,1.0,2,1,1
-5.878358112016096e-07,0.0025151450907556173,0.0023403976797320186,3981.3775536716425,1.0,2,1,1
-7.363147583902496e-07,0.0031842717046099726,0.0029314734200162596,3981.2746221982225,1.0,2,1,1
-1.0222921016320123e-06,0.00429041252322123,0.004069923371491054,3981.170552274851,1.0,2,1,1
-9.11859097675203e-07,0.0038388603757182034,0.0036301754015786677,3981.0669220994496,1.0,2,1,1
-4.1102949774866613e-07,0.0017500636358940345,0.00163629483454459,3980.965285804615,1.0,2,1,1
-7.462628903310496e-07,0.003159819809086195,0.002970772034203092,3980.862315032581,1.0,2,1,1
-9.605074915299116e-07,0.004058032120256464,0.003823552025588748,3980.7584914805557,1.0,2,1,1
-1.0114805021103667e-06,0.0042757108582555155,0.0040263584496926475,3980.654465122106,1.0,2,1,1
-5.482119807226461e-07,0.0023036207585587815,0.002182187647698963,3980.5522829344586,1.0,2,1,1
-1.222861132332739e-06,0.005167431629845888,0.004867540385905668,3980.447415394073,1.0,2,2,1
-9.725151664329985e-07,0.0041331875333168455,0.0038709482291431224,3980.3435444458437,1.0,2,1,1
-6.397638732837602e-07,0.0027126614507729722,0.0025464160266073553,3980.240998029817,1.0,2,1,1
-2.566318536670155e-07,0.0010941586853039891,0.001021430962180477,3980.139976598855,1.0,2,1,1
-9.417586580301269e-07,0.003969212878625101,0.0037482371072679955,3980.036228361748,1.0,2,1,1
-6.343203461994639e-06,0.026802884623815096,0.025245545262262126,3979.9109828164856,1.0,2,3,1
-3.9780838886830053e-07,0.0016841246326990212,0.0015832021950745938,3979.8093996142907,1.0,2,1,1
-7.236508486306752e-07,0.003100828608491747,0.002879920084334356,3979.7065196942062,1.0,2,1,1
-9.772482901948868e-07,0.004149624760959573,0.0038890636670195875,3979.6026306305394,1.0,2,1,1
-3.331018057873312e-07,0.0014016686667442412,0.0013255795123984675,3979.501305051027,1.0,2,1,1
-7.764332391447619e-07,0.0032672602201781085,0.0030897394451376617,3979.398215311582,1.0,2,1,1
-3.404273710042027e-07,0.0014434994490306534,0.0013546620298802376,3979.2968606495524,1.0,2,1,1
-7.403759450965579e-07,0.0031528041630332253,0.0029461016364286685,3979.193914547916,1.0,2,1,1
-6.08297158388163e-07,0.0025322142939257883,0.0024204715211791294,3979.091494076395,1.0,2,1,1
-1.1802024694270396e-06,0.004969399416174186,0.0046960155871381476,3978.986798060808,1.0,2,1,1
-5.69919508244429e-07,0.002420025847308806,0.0022676452073110663,3978.8845304156007,1.0,2,1,1
-1.2437770467825065e-05,0.051948413784537475,0.04948720873024238,3978.7350432068706,1.0,2,3,1
-6.096279071507986e-07,0.0025830774057354023,0.002425486954707032,3978.632617719916,1.0,2,1,1
-4.621430312328228e-07,0.001974657657108972,0.0018386511238117395,3978.5307790687925,1.0,2,1,1
-6.831115163036097e-07,0.0028898339455035297,0.002717711881998634,3978.428061356911,1.0,2,1,1
-3.4289165026822285e-07,0.0014687489440656579,0.001364135474267051,3978.3266972214365,1.0,2,1,1
-7.278274922043572e-07,0.0030491284226862535,0.0028954627604591008,3978.223801758676,1.0,2,1,1
-9.352254546908484e-07,0.003952280945111001,0.0037204426413162445,3978.120081316035,1.0,2,1,1
-8.818320367247659e-07,0.003705054820596394,0.003507945550438938,3978.0165733704844,1.0,2,1,1
-4.79396141455131e-07,0.001996772996112974,0.0019069978563042269,3977.9146663726283,1.0,2,1,1
-8.849602168219383e-07,0.003748641400265667,0.0035202077296306073,3977.8111461648987,1.0,2,1,1
-8.644394453749445e-07,0.003675390129750979,0.00343849041705252,3977.7077076744818,1.0,2,1,1
-1.1757572666272885e-06,0.004926715515829028,0.004676701166090983,3977.6030309733155,1.0,2,1,1
-8.127795277982598e-07,0.003430152544212033,0.0032328330353306386,3977.4997981402803,1.0,2,1,1
-8.455439320634304e-07,0.0035442285164198842,0.003363066264707827,3977.3964350740157,1.0,2,1,1
-6.797053135010066e-07,0.002865268630418363,0.0027033895202884196,3977.2937316844955,1.0,2,1,1
-8.476492099955959e-07,0.003587867588760958,0.0033712651246617987,3977.190360419371,1.0,2,1,1
-3.692900331382799e-07,0.001566597324926364,0.001468699830993203,3977.08889171954,1.0,2,1,1
-3.4847521803759627e-07,0.0014623783685305343,0.001385882071175065,3976.9875058374687,1.0,2,1,1
-9.21692004279837e-07,0.00390684620415873,0.0036654654160507786,3976.883840372053,1.0,2,1,1
-1.17235779097048e-06,0.004877485840516434,0.004662213518265681,3976.7791781585347,1.0,2,1,1
-7.636877661697353e-07,0.003214206044329405,0.0030369412383415904,3976.6761412172964,1.0,2,1,1
-8.471042854668836e-07,0.003569220179018675,0.0033685746907105353,3976.5727726426057,1.0,2,1,1
-1.0685464325140345e-06,0.004519337887681882,0.004249045795196448,3976.4685235968104,1.0,2,1,1
-8.15745532220084e-07,0.003459629980485231,0.00324370485758467,3976.365279891953,1.0,2,1,1
-7.351965675426149e-07,0.0031377771045596,0.0029233365854154387,3976.2623565553677,1.0,2,1,1
-7.103554997118655e-07,0.0029784778197810297,0.002824488797726397,3976.15953206657,1.0,2,1,1
-5.524997869430883e-07,0.002318864778414421,0.0021967720443398153,3976.0573352945257,1.0,2,1,1
-9.237791105333882e-07,0.003921760305631926,0.003672906330717077,3975.953662388195,1.0,2,1,1
-8.772670452500511e-07,0.003713687807123697,0.003487885394749886,3975.8501745028,1.0,2,1,1
-1.4910104219718435e-06,0.006229576813646252,0.005927884945340051,3975.744246617855,1.0,2,2,1
-4.2306742182990955e-07,0.0017962823841427412,0.001681965561529529,3975.6425646522935,1.0,2,1,1
-6.62130125080053e-07,0.0028099692966970812,0.0026323264955942977,3975.539932325798,1.0,2,1,1
-4.2431885249597754e-07,0.001776082375796644,0.0016868541102511693,3975.438245471688,1.0,2,1,1
-3.7373138526482257e-07,0.0015785590575364977,0.0014857086693763632,3975.3367597630186,1.0,2,1,1
-7.492951780740489e-07,0.0031610592204862355,0.0029786257357931364,3975.2337811372827,1.0,2,1,1
-5.990284393301635e-07,0.002534663090841375,0.0023812181850432785,3975.131399919098,1.0,2,1,1
-6.215882917029048e-07,0.0026384052333422083,0.0024708329773411183,3975.0289290861206,1.0,2,1,1
-6.400334289020882e-06,0.026943923657788613,0.02544087392125095,3974.9034882121996,1.0,2,3,1
-4.59762358348934e-07,0.0019493156160811688,0.0018274650257140103,3974.801660747174,1.0,2,1,1
-9.496947443875747e-07,0.004048595039757529,0.0037747532777201564,3974.6978859938963,1.0,2,1,1
-4.529464074746622e-07,0.0019142198739405094,0.0018002798336173224,3974.5960857140626,1.0,2,1,1
-5.082673231829628e-07,0.0021770266932541874,0.00202010648648705,3974.4940656075764,1.0,2,1,1
-8.489215638131243e-07,0.0035415614523192254,0.003373948825385185,3974.390691658751,1.0,2,1,1
-4.599232668086093e-07,0.0019427103912571019,0.0018278687581547402,3974.2888637899932,1.0,2,1,1
-2.638633991067689e-07,0.0011204173974412666,0.0010486429822918954,3974.187815147011,1.0,2,1,1
-8.870802122469374e-07,0.003725250071867992,0.0035253346625485783,3974.0842898123483,1.0,2,1,1
-9.136609367939902e-07,0.0038224213381553647,0.0036308742090345497,3973.980658938139,1.0,2,1,1
-1.1672299075020874e-06,0.004882920010547655,0.004638432353956699,3973.876020505785,1.0,2,1,1
-9.073847163264396e-06,0.038039959992159755,0.0360574362711145,3973.739963069514,1.0,2,3,1
-1.1115005483304294e-06,0.0046453685192658556,0.004416702997819472,3973.6355463665163,1.0,2,1,1
-1.0056042525504314e-06,0.0042655017994935075,0.003995804243086471,3973.5315505622734,1.0,2,1,1
-7.890434087112564e-07,0.0032951938546183753,0.0031352099749365095,3973.4284153522985,1.0,2,1,1
